driver,number,lap_time
Oscar Piastri,81,89.841
George Russell,63,90.009
Charles Leclerc,16,90.175
Kimi Antonelli,12,90.213
Pierre Gasly,10,90.216
Lando Norris,4,90.267
Max Verstappen,1,90.423
Carlos Sainz,55,90.68
Lewis Hamilton,44,90.772
Yuki Tsunoda,22,91.303
Jack Doohan,7,91.245
Isack Hadjar,6,91.271
Fernando Alonso,14,91.886
Esteban Ocon,31,91.594
Alexander Albon,23,92.040
Nico Hulkenberg,27,92.067
Liam Lawson,30,92.165
Gabriel Bortoletto,5,92.186
Lance Stroll,18,92.283
Oliver Bearman,87,92.373
