driver,q1,q2,q3,start_grid
Max Verstappen,87.778,87.529,87.294,1
Oscar Piastri,87.901,87.545,87.304,2
George Russell,88.282,87.599,87.407,3
Charles Leclerc,88.552,87.866,87.670,4
Kimi Antonelli,88.128,87.798,87.866,5
Carlos Sainz,88.354,88.024,88.164,6
Lewis Hamilton,88.372,88.102,88.201,7
Yuki Tsunoda,88.226,87.990,88.204,8
Pierre Gasly,88.421,88.205,88.367,9
Lando Norris,87.805,87.481,,10
Alexander Albon,88.279,88.109,,11
Liam Lawson,88.561,88.191,,12
Fernando Alonso,88.548,88.303,,13
Isack Hadjar,88.571,88.418,,14
Oliver Bearman,88.536,88.648,,15
Lance Stroll,88.645,,,16
Jack Doohan,88.739,,,17
Nico Hulkenberg,88.782,,,18
Esteban Ocon,89.092,,,19
Gabriel Bortoleto,89.462,,,20
